id,created_date,modified_date,start_date,end_date,production_id,location_id,provisional,remote,notes
1,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-02-01T14:00:00Z","2024-04-10T18:30:00Z",1,,FALSE,FALSE,High-speed internet required for remote editing.
2,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-03-15T09:00:00Z","2024-05-25T16:45:00Z",1,,FALSE,FALSE,Need access to soundproof dubbing studio.
3,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-04-02T10:30:00Z","2024-06-15T21:15:00Z",1,,FALSE,FALSE,Video editing suite with advanced software required.
4,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-05-10T13:45:00Z","2024-07-28T17:00:00Z",1,,FALSE,FALSE,Color grading studio booking.
5,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-06-20T08:00:00Z","2024-09-05T14:30:00Z",2,,TRUE,FALSE,Virtual collaboration setup for team editing.
6,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-07-12T11:15:00Z","2024-09-25T19:45:00Z",2,,FALSE,FALSE,ADR session in a professional dubbing room.
7,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-08-05T14:30:00Z","2024-10-25T20:00:00Z",2,,FALSE,FALSE,Color grading for a feature film project.
8,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-09-18T09:45:00Z","2024-12-01T16:15:00Z",3,,FALSE,FALSE,Long-term offline editing project.
9,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-10-10T12:00:00Z","2025-01-05T18:30:00Z",1,,TRUE,FALSE,Dialogue replacement for a documentary.
10,2024-03-03 08:00:00,2024-03-03 08:00:00,"2024-11-28T15:30:00Z","2025-02-15T22:00:00Z",3,,FALSE,TRUE,Remote editing for a series of web episodes.
11,2024-03-03 08:00:00,2024-03-03 08:00:00,"2025-01-20T10:00:00Z","2025-04-01T17:30:00Z",2,,FALSE,TRUE,Extended offline editing project for a documentary series.
12,2024-03-03 08:00:00,2024-03-03 08:00:00,"2025-02-10T11:45:00Z","2025-04-25T19:15:00Z",2,,FALSE,FALSE,Complex video post-production requiring specialized editing software.
13,2024-03-03 08:00:00,2024-03-03 08:00:00,"2025-03-05T13:30:00Z","2025-05-18T21:00:00Z",1,,TRUE,FALSE,Offline editing suite with advanced color correction tools.
14,2024-03-03 08:00:00,2024-03-03 08:00:00,"2025-04-15T14:15:00Z","2025-07-01T20:45:00Z",2,,FALSE,FALSE,"Large-scale film editing project, high-capacity storage required."
15,2024-03-03 08:00:00,2024-03-03 08:00:00,"2025-05-10T16:00:00Z","2025-08-20T22:30:00Z",1,,FALSE,FALSE,Offline post-production for a series of promotional videos.
